date,store_id,region,store_type,walkability_score,category,units_sold,price,base_price,unit_cost,discount_pct,temperature_f,precipitation_in,day_of_week,is_weekend,is_holiday,week_start,revenue,gross_margin,is_promoted,trailing_28d_units,trailing_28d_margin,baseline_units,baseline_margin
2025-01-11,S001,Seattle,suburban,61.6,cold_beverage,77,6.25,6.25,1.85,0.0,43.1,0.05,Saturday,1,0,2025-01-06,481.25,338.8,0,49.0,215.6,49.0,215.6
2025-01-12,S001,Seattle,suburban,61.6,cold_beverage,58,6.25,6.25,1.85,0.0,42.3,0.0,Sunday,1,0,2025-01-06,362.5,255.2,0,51.54545454545455,226.8,51.54545454545455,226.8
2025-01-13,S001,Seattle,suburban,61.6,cold_beverage,38,6.25,6.25,1.85,0.0,41.9,0.06,Monday,0,0,2025-01-13,237.5,167.2,0,52.083333333333336,229.16666666666666,52.083333333333336,229.16666666666666
2025-01-14,S001,Seattle,suburban,61.6,cold_beverage,46,6.25,6.25,1.85,0.0,41.5,0.001,Tuesday,0,0,2025-01-13,287.5,202.4,0,51.0,224.39999999999998,51.0,224.39999999999998
2025-01-15,S001,Seattle,suburban,61.6,cold_beverage,51,5.31,6.25,1.85,0.15,29.1,0.098,Wednesday,0,0,2025-01-13,270.81,176.46,1,50.642857142857146,222.82857142857142,50.642857142857146,222.82857142857142
2025-01-16,S001,Seattle,suburban,61.6,cold_beverage,40,6.25,6.25,1.85,0.0,34.2,0.037,Thursday,0,0,2025-01-13,250.0,176.0,0,50.666666666666664,219.73733333333334,50.666666666666664,219.73733333333334
2025-01-17,S001,Seattle,suburban,61.6,cold_beverage,56,6.25,6.25,1.85,0.0,38.3,0.0,Friday,0,0,2025-01-13,350.0,246.4,0,50.0,217.00375,50.0,217.00375
2025-01-18,S001,Seattle,suburban,61.6,cold_beverage,39,6.25,6.25,1.85,0.0,30.0,0.073,Saturday,1,0,2025-01-13,243.75,171.6,0,50.35294117647059,218.7329411764706,50.35294117647059,218.7329411764706
2025-01-19,S001,Seattle,suburban,61.6,cold_beverage,44,6.25,6.25,1.85,0.0,37.5,0.148,Sunday,1,0,2025-01-13,275.0,193.6,0,49.72222222222222,216.11444444444444,49.72222222222222,216.11444444444444
2025-01-20,S001,Seattle,suburban,61.6,cold_beverage,38,6.25,6.25,1.85,0.0,33.4,0.024,Monday,0,0,2025-01-20,237.5,167.2,0,49.421052631578945,214.9294736842105,49.421052631578945,214.9294736842105
2025-01-21,S001,Seattle,suburban,61.6,cold_beverage,32,6.25,6.25,1.85,0.0,33.7,0.0,Tuesday,0,0,2025-01-20,200.0,140.8,0,48.85,212.54299999999998,48.85,212.54299999999998
2025-01-22,S001,Seattle,suburban,61.6,cold_beverage,62,6.25,6.25,1.85,0.0,43.9,0.0,Wednesday,0,0,2025-01-20,387.5,272.8,0,48.04761904761905,209.12666666666667,48.04761904761905,209.12666666666667
2025-01-23,S001,Seattle,suburban,61.6,cold_beverage,56,5.31,6.25,1.85,0.15,34.4,0.086,Thursday,0,0,2025-01-20,297.36,193.76,1,48.68181818181818,212.0209090909091,48.68181818181818,212.0209090909091
2025-01-24,S001,Seattle,suburban,61.6,cold_beverage,41,6.25,6.25,1.85,0.0,32.2,0.034,Friday,0,0,2025-01-20,256.25,180.4,0,49.0,211.22695652173914,49.0,211.22695652173914
2025-01-25,S001,Seattle,suburban,61.6,cold_beverage,48,6.25,6.25,1.85,0.0,33.2,0.06,Saturday,1,0,2025-01-20,300.0,211.2,0,48.666666666666664,209.9425,48.666666666666664,209.9425
2025-01-26,S001,Seattle,suburban,61.6,cold_beverage,33,6.25,6.25,1.85,0.0,36.5,0.158,Sunday,1,0,2025-01-20,206.25,145.2,0,48.64,209.9928,48.64,209.9928
2025-01-27,S001,Seattle,suburban,61.6,cold_beverage,51,6.25,6.25,1.85,0.0,43.4,0.094,Monday,0,0,2025-01-27,318.75,224.4,0,48.03846153846154,207.50076923076924,48.03846153846154,207.50076923076924
2025-01-28,S001,Seattle,suburban,61.6,cold_beverage,43,6.25,6.25,1.85,0.0,34.9,0.17,Tuesday,0,0,2025-01-27,268.75,189.2,0,48.148148148148145,208.12666666666667,48.148148148148145,208.12666666666667
2025-01-29,S001,Seattle,suburban,61.6,cold_beverage,51,6.25,6.25,1.85,0.0,36.2,0.0,Wednesday,0,0,2025-01-27,318.75,224.4,0,47.964285714285715,207.45071428571427,47.964285714285715,207.45071428571427
2025-01-30,S001,Seattle,suburban,61.6,cold_beverage,51,6.25,6.25,1.85,0.0,42.5,0.0,Thursday,0,0,2025-01-27,318.75,224.4,0,47.92857142857143,207.29357142857143,47.92857142857143,207.29357142857143
2025-01-31,S001,Seattle,suburban,61.6,cold_beverage,60,5.62,6.25,1.85,0.1,35.7,0.135,Friday,0,0,2025-01-27,337.2,226.2,1,48.464285714285715,209.6507142857143,48.464285714285715,209.6507142857143
2025-02-01,S001,Seattle,suburban,61.6,cold_beverage,56,6.25,6.25,1.85,0.0,45.7,0.0,Saturday,1,0,2025-01-27,350.0,246.4,0,49.142857142857146,211.2864285714286,49.142857142857146,211.2864285714286
2025-02-02,S001,Seattle,suburban,61.6,cold_beverage,45,6.25,6.25,1.85,0.0,31.4,0.0,Sunday,1,0,2025-01-27,281.25,198.0,0,49.892857142857146,214.58642857142857,49.892857142857146,214.58642857142857
2025-02-03,S001,Seattle,suburban,61.6,cold_beverage,64,5.62,6.25,1.85,0.1,40.7,0.049,Monday,0,0,2025-02-03,359.68,241.28,1,49.392857142857146,212.38642857142855,49.392857142857146,212.38642857142855
2025-02-04,S001,Seattle,suburban,61.6,cold_beverage,47,6.25,6.25,1.85,0.0,32.6,0.016,Tuesday,0,0,2025-02-03,293.75,206.8,0,50.035714285714285,213.775,50.035714285714285,213.775
2025-02-05,S001,Seattle,suburban,61.6,cold_beverage,28,6.25,6.25,1.85,0.0,30.6,0.0,Wednesday,0,0,2025-02-03,175.0,123.2,0,49.785714285714285,212.67499999999998,49.785714285714285,212.67499999999998
2025-02-06,S001,Seattle,suburban,61.6,cold_beverage,52,6.25,6.25,1.85,0.0,43.1,0.002,Thursday,0,0,2025-02-03,325.0,228.8,0,49.17857142857143,210.00357142857143,49.17857142857143,210.00357142857143
2025-02-07,S001,Seattle,suburban,61.6,cold_beverage,46,6.25,6.25,1.85,0.0,40.6,0.027,Friday,0,0,2025-02-03,287.5,202.4,0,48.785714285714285,208.275,48.785714285714285,208.275
2025-02-08,S001,Seattle,suburban,61.6,cold_beverage,38,6.25,6.25,1.85,0.0,42.4,0.044,Saturday,1,0,2025-02-03,237.5,167.2,0,48.32142857142857,206.23214285714286,48.32142857142857,206.23214285714286
2025-02-09,S001,Seattle,suburban,61.6,cold_beverage,55,6.25,6.25,1.85,0.0,36.4,0.034,Sunday,1,0,2025-02-03,343.75,242.0,0,46.92857142857143,200.10357142857143,46.92857142857143,200.10357142857143
2025-02-10,S001,Seattle,suburban,61.6,cold_beverage,51,6.25,6.25,1.85,0.0,40.9,0.0,Monday,0,0,2025-02-10,318.75,224.4,0,46.82142857142857,199.63214285714284,46.82142857142857,199.63214285714284
2025-02-11,S001,Seattle,suburban,61.6,cold_beverage,44,6.25,6.25,1.85,0.0,45.4,0.0,Tuesday,0,0,2025-02-10,275.0,193.6,0,47.285714285714285,201.67499999999998,47.285714285714285,201.67499999999998
2025-02-12,S001,Seattle,suburban,61.6,cold_beverage,45,6.25,6.25,1.85,0.0,39.1,0.0,Wednesday,0,0,2025-02-10,281.25,198.0,0,47.214285714285715,201.3607142857143,47.214285714285715,201.3607142857143
2025-02-13,S001,Seattle,suburban,61.6,cold_beverage,44,6.25,6.25,1.85,0.0,36.9,0.061,Thursday,0,0,2025-02-10,275.0,193.6,0,47.0,202.13000000000002,47.0,202.13000000000002
2025-02-14,S001,Seattle,suburban,61.6,cold_beverage,36,6.25,6.25,1.85,0.0,32.8,0.339,Friday,0,0,2025-02-10,225.0,158.4,0,47.142857142857146,202.75857142857143,47.142857142857146,202.75857142857143
2025-02-15,S001,Seattle,suburban,61.6,cold_beverage,59,6.25,6.25,1.85,0.0,41.9,0.013,Saturday,1,0,2025-02-10,368.75,259.6,0,46.42857142857143,199.6157142857143,46.42857142857143,199.6157142857143
2025-02-16,S001,Seattle,suburban,61.6,cold_beverage,51,6.25,6.25,1.85,0.0,34.4,0.0,Sunday,1,0,2025-02-10,318.75,224.4,0,47.142857142857146,202.75857142857143,47.142857142857146,202.75857142857143
2025-02-17,S001,Seattle,suburban,61.6,cold_beverage,37,6.25,6.25,1.85,0.0,29.5,0.0,Monday,0,1,2025-02-17,231.25,162.8,0,47.392857142857146,203.85857142857142,47.392857142857146,203.85857142857142
2025-02-18,S001,Seattle,suburban,61.6,cold_beverage,37,6.25,6.25,1.85,0.0,44.3,0.149,Tuesday,0,0,2025-02-17,231.25,162.8,0,47.357142857142854,203.70142857142858,47.357142857142854,203.70142857142858
2025-02-19,S001,Seattle,suburban,61.6,cold_beverage,44,6.25,6.25,1.85,0.0,46.7,0.0,Wednesday,0,0,2025-02-17,275.0,193.6,0,47.535714285714285,204.48714285714286,47.535714285714285,204.48714285714286
2025-02-20,S001,Seattle,suburban,61.6,cold_beverage,40,6.25,6.25,1.85,0.0,37.2,0.044,Thursday,0,0,2025-02-17,250.0,176.0,0,46.892857142857146,201.6585714285714,46.892857142857146,201.6585714285714
2025-02-21,S001,Seattle,suburban,61.6,cold_beverage,26,6.25,6.25,1.85,0.0,33.5,0.095,Friday,0,0,2025-02-17,162.5,114.4,0,46.32142857142857,201.02428571428572,46.32142857142857,201.02428571428572
2025-02-22,S001,Seattle,suburban,61.6,cold_beverage,68,6.25,6.25,1.85,0.0,40.6,0.03,Saturday,1,0,2025-02-17,425.0,299.2,0,45.785714285714285,198.66714285714286,45.785714285714285,198.66714285714286
2025-02-23,S001,Seattle,suburban,61.6,cold_beverage,53,6.25,6.25,1.85,0.0,41.3,0.136,Sunday,1,0,2025-02-17,331.25,233.2,0,46.5,201.81,46.5,201.81
2025-02-24,S001,Seattle,suburban,61.6,cold_beverage,50,6.25,6.25,1.85,0.0,38.3,0.065,Monday,0,0,2025-02-24,312.5,220.0,0,47.214285714285715,204.95285714285714,47.214285714285715,204.95285714285714
2025-02-25,S001,Seattle,suburban,61.6,cold_beverage,63,6.25,6.25,1.85,0.0,51.8,0.0,Tuesday,0,0,2025-02-24,393.75,277.2,0,47.17857142857143,204.79571428571427,47.17857142857143,204.79571428571427
2025-02-26,S001,Seattle,suburban,61.6,cold_beverage,55,6.25,6.25,1.85,0.0,45.2,0.0,Wednesday,0,0,2025-02-24,343.75,242.0,0,47.892857142857146,207.9385714285714,47.892857142857146,207.9385714285714
2025-02-27,S001,Seattle,suburban,61.6,cold_beverage,42,6.25,6.25,1.85,0.0,39.0,0.0,Thursday,0,0,2025-02-24,262.5,184.8,0,48.035714285714285,208.56714285714287,48.035714285714285,208.56714285714287
2025-02-28,S001,Seattle,suburban,61.6,cold_beverage,51,6.25,6.25,1.85,0.0,44.4,0.018,Friday,0,0,2025-02-24,318.75,224.4,0,47.714285714285715,207.15285714285713,47.714285714285715,207.15285714285713
2025-03-01,S001,Seattle,suburban,61.6,cold_beverage,65,6.25,6.25,1.85,0.0,50.7,0.065,Saturday,1,0,2025-02-24,406.25,286.0,0,47.392857142857146,207.08857142857144,47.392857142857146,207.08857142857144
2025-03-02,S001,Seattle,suburban,61.6,cold_beverage,47,6.25,6.25,1.85,0.0,38.6,0.0,Sunday,1,0,2025-02-24,293.75,206.8,0,47.714285714285715,208.50285714285715,47.714285714285715,208.50285714285715
2025-03-03,S001,Seattle,suburban,61.6,cold_beverage,39,6.25,6.25,1.85,0.0,32.5,0.084,Monday,0,0,2025-03-03,243.75,171.6,0,47.785714285714285,208.81714285714287,47.785714285714285,208.81714285714287
2025-03-04,S001,Seattle,suburban,61.6,cold_beverage,60,6.25,6.25,1.85,0.0,37.0,0.064,Tuesday,0,0,2025-03-03,375.0,264.0,0,46.892857142857146,206.32857142857142,46.892857142857146,206.32857142857142
2025-03-05,S001,Seattle,suburban,61.6,cold_beverage,56,6.25,6.25,1.85,0.0,43.7,0.0,Wednesday,0,0,2025-03-03,350.0,246.4,0,47.357142857142854,208.37142857142857,47.357142857142854,208.37142857142857
2025-03-06,S001,Seattle,suburban,61.6,cold_beverage,35,6.25,6.25,1.85,0.0,30.5,0.117,Thursday,0,0,2025-03-03,218.75,154.0,0,48.357142857142854,212.77142857142857,48.357142857142854,212.77142857142857
2025-03-07,S001,Seattle,suburban,61.6,cold_beverage,48,6.25,6.25,1.85,0.0,42.4,0.0,Friday,0,0,2025-03-03,300.0,211.2,0,47.75,210.1,47.75,210.1
2025-03-08,S001,Seattle,suburban,61.6,cold_beverage,58,6.25,6.25,1.85,0.0,34.8,0.0,Saturday,1,0,2025-03-03,362.5,255.2,0,47.82142857142857,210.41428571428574,47.82142857142857,210.41428571428574
2025-03-09,S001,Seattle,suburban,61.6,cold_beverage,49,6.25,6.25,1.85,0.0,39.8,0.222,Sunday,1,0,2025-03-03,306.25,215.6,0,48.535714285714285,213.55714285714288,48.535714285714285,213.55714285714288
2025-03-10,S001,Seattle,suburban,61.6,cold_beverage,74,5.31,6.25,1.85,0.15,46.5,0.0,Monday,0,0,2025-03-10,392.94,256.04,1,48.32142857142857,212.6142857142857,48.32142857142857,212.6142857142857
2025-03-11,S001,Seattle,suburban,61.6,cold_beverage,78,6.25,6.25,1.85,0.0,49.4,0.09,Tuesday,0,0,2025-03-10,487.5,343.2,0,49.142857142857146,213.74428571428572,49.142857142857146,213.74428571428572
2025-03-12,S001,Seattle,suburban,61.6,cold_beverage,67,6.25,6.25,1.85,0.0,50.1,0.0,Wednesday,0,0,2025-03-10,418.75,294.8,0,50.357142857142854,219.08714285714285,50.357142857142854,219.08714285714285
2025-03-13,S001,Seattle,suburban,61.6,cold_beverage,34,6.25,6.25,1.85,0.0,35.6,0.007,Thursday,0,0,2025-03-10,212.5,149.6,0,51.142857142857146,222.5442857142857,51.142857142857146,222.5442857142857
2025-03-14,S001,Seattle,suburban,61.6,cold_beverage,41,6.25,6.25,1.85,0.0,44.1,0.042,Friday,0,0,2025-03-10,256.25,180.4,0,50.785714285714285,220.97285714285712,50.785714285714285,220.97285714285712
2025-03-15,S001,Seattle,suburban,61.6,cold_beverage,67,6.25,6.25,1.85,0.0,52.8,0.0,Saturday,1,0,2025-03-10,418.75,294.8,0,50.964285714285715,221.75857142857143,50.964285714285715,221.75857142857143
2025-03-16,S001,Seattle,suburban,61.6,cold_beverage,73,5.62,6.25,1.85,0.1,44.4,0.0,Sunday,1,0,2025-03-10,410.26,275.21,1,51.25,223.01571428571427,51.25,223.01571428571427
2025-03-17,S001,Seattle,suburban,61.6,cold_beverage,43,6.25,6.25,1.85,0.0,40.2,0.0,Monday,0,0,2025-03-17,268.75,189.2,0,52.035714285714285,224.83035714285714,52.035714285714285,224.83035714285714
2025-03-18,S001,Seattle,suburban,61.6,cold_beverage,59,5.62,6.25,1.85,0.1,42.0,0.011,Tuesday,0,0,2025-03-17,331.58,222.43,1,52.25,225.77321428571426,52.25,225.77321428571426
2025-03-19,S001,Seattle,suburban,61.6,cold_beverage,53,6.25,6.25,1.85,0.0,37.0,0.0,Wednesday,0,0,2025-03-17,331.25,233.2,0,53.035714285714285,227.90285714285713,53.035714285714285,227.90285714285713
2025-03-20,S001,Seattle,suburban,61.6,cold_beverage,43,6.25,6.25,1.85,0.0,39.5,0.0,Thursday,0,0,2025-03-17,268.75,189.2,0,53.357142857142854,229.31714285714287,53.357142857142854,229.31714285714287
2025-03-21,S001,Seattle,suburban,61.6,cold_beverage,60,6.25,6.25,1.85,0.0,48.5,0.132,Friday,0,0,2025-03-17,375.0,264.0,0,53.464285714285715,229.78857142857143,53.464285714285715,229.78857142857143
2025-03-22,S001,Seattle,suburban,61.6,cold_beverage,65,6.25,6.25,1.85,0.0,44.3,0.028,Saturday,1,0,2025-03-17,406.25,286.0,0,54.67857142857143,235.1314285714286,54.67857142857143,235.1314285714286
2025-03-23,S001,Seattle,suburban,61.6,cold_beverage,61,6.25,6.25,1.85,0.0,45.1,0.243,Sunday,1,0,2025-03-17,381.25,268.4,0,54.57142857142857,234.66,54.57142857142857,234.66
2025-03-24,S001,Seattle,suburban,61.6,cold_beverage,59,6.25,6.25,1.85,0.0,49.7,0.068,Monday,0,0,2025-03-24,368.75,259.6,0,54.857142857142854,235.91714285714286,54.857142857142854,235.91714285714286
2025-03-25,S001,Seattle,suburban,61.6,cold_beverage,59,5.31,6.25,1.85,0.15,49.0,0.0,Tuesday,0,0,2025-03-24,313.29,204.14,1,55.17857142857143,237.33142857142857,55.17857142857143,237.33142857142857
2025-03-26,S001,Seattle,suburban,61.6,cold_beverage,90,5.62,6.25,1.85,0.1,57.6,0.052,Wednesday,0,0,2025-03-24,505.8,339.3,1,55.035714285714285,234.72214285714287,55.035714285714285,234.72214285714287
2025-03-27,S001,Seattle,suburban,61.6,cold_beverage,41,6.25,6.25,1.85,0.0,40.1,0.0,Thursday,0,0,2025-03-24,256.25,180.4,0,56.285714285714285,238.19714285714286,56.285714285714285,238.19714285714286
2025-03-28,S001,Seattle,suburban,61.6,cold_beverage,68,6.25,6.25,1.85,0.0,59.7,0.0,Friday,0,0,2025-03-24,425.0,299.2,0,56.25,238.04,56.25,238.04
2025-03-29,S001,Seattle,suburban,61.6,cold_beverage,51,6.25,6.25,1.85,0.0,41.1,0.007,Saturday,1,0,2025-03-24,318.75,224.4,0,56.857142857142854,240.71142857142857,56.857142857142854,240.71142857142857
2025-03-30,S001,Seattle,suburban,61.6,cold_beverage,78,6.25,6.25,1.85,0.0,52.6,0.075,Sunday,1,0,2025-03-24,487.5,343.2,0,56.357142857142854,238.51142857142855,56.357142857142854,238.51142857142855
2025-03-31,S001,Seattle,suburban,61.6,cold_beverage,72,6.25,6.25,1.85,0.0,57.1,0.0,Monday,0,0,2025-03-31,450.0,316.8,0,57.464285714285715,243.38285714285715,57.464285714285715,243.38285714285715
2025-04-01,S001,Seattle,suburban,61.6,cold_beverage,72,6.25,6.25,1.85,0.0,55.8,0.052,Tuesday,0,0,2025-03-31,450.0,316.8,0,58.642857142857146,248.56857142857143,58.642857142857146,248.56857142857143
2025-04-02,S001,Seattle,suburban,61.6,cold_beverage,59,6.25,6.25,1.85,0.0,53.2,0.14,Wednesday,0,0,2025-03-31,368.75,259.6,0,59.07142857142857,250.45428571428573,59.07142857142857,250.45428571428573
2025-04-03,S001,Seattle,suburban,61.6,cold_beverage,78,6.25,6.25,1.85,0.0,54.0,0.027,Thursday,0,0,2025-03-31,487.5,343.2,0,59.17857142857143,250.9257142857143,59.17857142857143,250.9257142857143
2025-04-04,S001,Seattle,suburban,61.6,cold_beverage,63,6.25,6.25,1.85,0.0,50.0,0.048,Friday,0,0,2025-03-31,393.75,277.2,0,60.714285714285715,257.68285714285713,60.714285714285715,257.68285714285713
2025-04-05,S001,Seattle,suburban,61.6,cold_beverage,68,6.25,6.25,1.85,0.0,44.0,0.074,Saturday,1,0,2025-03-31,425.0,299.2,0,61.25,260.04,61.25,260.04
2025-04-06,S001,Seattle,suburban,61.6,cold_beverage,92,6.25,6.25,1.85,0.0,53.7,0.0,Sunday,1,0,2025-03-31,575.0,404.8,0,61.607142857142854,261.6114285714286,61.607142857142854,261.6114285714286
2025-04-07,S001,Seattle,suburban,61.6,cold_beverage,49,6.25,6.25,1.85,0.0,46.3,0.0,Monday,0,0,2025-04-07,306.25,215.6,0,63.142857142857146,268.36857142857144,63.142857142857146,268.36857142857144
2025-04-08,S001,Seattle,suburban,61.6,cold_beverage,64,6.25,6.25,1.85,0.0,60.7,0.322,Tuesday,0,0,2025-04-07,400.0,281.6,0,62.25,266.9242857142857,62.25,266.9242857142857
2025-04-09,S001,Seattle,suburban,61.6,cold_beverage,62,6.25,6.25,1.85,0.0,57.4,0.226,Wednesday,0,0,2025-04-07,387.5,272.8,0,61.75,264.7242857142857,61.75,264.7242857142857
2025-04-10,S001,Seattle,suburban,61.6,cold_beverage,94,6.25,6.25,1.85,0.0,66.8,0.0,Thursday,0,0,2025-04-07,587.5,413.6,0,61.57142857142857,263.93857142857144,61.57142857142857,263.93857142857144
2025-04-11,S001,Seattle,suburban,61.6,cold_beverage,58,6.25,6.25,1.85,0.0,54.3,0.0,Friday,0,0,2025-04-07,362.5,255.2,0,63.714285714285715,273.3671428571428,63.714285714285715,273.3671428571428
2025-04-12,S001,Seattle,suburban,61.6,cold_beverage,71,6.25,6.25,1.85,0.0,50.3,0.027,Saturday,1,0,2025-04-07,443.75,312.4,0,64.32142857142857,276.0385714285714,64.32142857142857,276.0385714285714
2025-04-13,S001,Seattle,suburban,61.6,cold_beverage,69,6.25,6.25,1.85,0.0,63.3,0.0,Sunday,1,0,2025-04-07,431.25,303.6,0,64.46428571428571,276.6671428571429,64.46428571428571,276.6671428571429
2025-04-14,S001,Seattle,suburban,61.6,cold_beverage,75,6.25,6.25,1.85,0.0,52.0,0.0,Monday,0,0,2025-04-14,468.75,330.0,0,64.32142857142857,277.68107142857144,64.32142857142857,277.68107142857144
2025-04-15,S001,Seattle,suburban,61.6,cold_beverage,66,5.62,6.25,1.85,0.1,51.3,0.0,Tuesday,0,0,2025-04-14,370.92,248.82,1,65.46428571428571,282.70964285714285,65.46428571428571,282.70964285714285
2025-04-16,S001,Seattle,suburban,61.6,cold_beverage,68,6.25,6.25,1.85,0.0,58.4,0.0,Wednesday,0,0,2025-04-14,425.0,299.2,0,65.71428571428571,283.65214285714285,65.71428571428571,283.65214285714285
2025-04-17,S001,Seattle,suburban,61.6,cold_beverage,46,6.25,6.25,1.85,0.0,49.8,0.0,Thursday,0,0,2025-04-14,287.5,202.4,0,66.25,286.00928571428574,66.25,286.00928571428574
2025-04-18,S001,Seattle,suburban,61.6,cold_beverage,62,6.25,6.25,1.85,0.0,57.1,0.003,Friday,0,0,2025-04-14,387.5,272.8,0,66.35714285714286,286.48071428571427,66.35714285714286,286.48071428571427
2025-04-19,S001,Seattle,suburban,61.6,cold_beverage,69,6.25,6.25,1.85,0.0,50.4,0.0,Saturday,1,0,2025-04-14,431.25,303.6,0,66.42857142857143,286.795,66.42857142857143,286.795
2025-04-20,S001,Seattle,suburban,61.6,cold_beverage,73,6.25,6.25,1.85,0.0,65.9,0.0,Sunday,1,0,2025-04-14,456.25,321.2,0,66.57142857142857,287.4235714285714,66.57142857142857,287.4235714285714
2025-04-21,S001,Seattle,suburban,61.6,cold_beverage,59,6.25,6.25,1.85,0.0,59.2,0.14,Monday,0,0,2025-04-21,368.75,259.6,0,67.0,289.3092857142857,67.0,289.3092857142857
2025-04-22,S001,Seattle,suburban,61.6,cold_beverage,47,6.25,6.25,1.85,0.0,52.6,0.225,Tuesday,0,0,2025-04-21,293.75,206.8,0,67.0,289.3092857142857,67.0,289.3092857142857
2025-04-23,S001,Seattle,suburban,61.6,cold_beverage,67,6.25,6.25,1.85,0.0,55.0,0.154,Wednesday,0,0,2025-04-21,418.75,294.8,0,66.57142857142857,289.4042857142857,66.57142857142857,289.4042857142857
2025-04-24,S001,Seattle,suburban,61.6,cold_beverage,76,6.25,6.25,1.85,0.0,63.3,0.045,Thursday,0,0,2025-04-21,475.0,334.4,0,65.75,287.815,65.75,287.815
2025-04-25,S001,Seattle,suburban,61.6,cold_beverage,78,5.31,6.25,1.85,0.15,52.7,0.0,Friday,0,0,2025-04-21,414.18,269.88,1,67.0,293.315,67.0,293.315
2025-04-26,S001,Seattle,suburban,61.6,cold_beverage,78,6.25,6.25,1.85,0.0,57.9,0.0,Saturday,1,0,2025-04-21,487.5,343.2,0,67.35714285714286,292.26785714285717,67.35714285714286,292.26785714285717
2025-04-27,S001,Seattle,suburban,61.6,cold_beverage,88,6.25,6.25,1.85,0.0,55.7,0.016,Sunday,1,0,2025-04-21,550.0,387.2,0,68.32142857142857,296.51071428571424,68.32142857142857,296.51071428571424
2025-04-28,S001,Seattle,suburban,61.6,cold_beverage,122,5.31,6.25,1.85,0.15,71.0,0.016,Monday,0,0,2025-04-28,647.82,422.12,1,68.67857142857143,298.08214285714286,68.67857142857143,298.08214285714286
2025-04-29,S001,Seattle,suburban,61.6,cold_beverage,75,6.25,6.25,1.85,0.0,65.3,0.06,Tuesday,0,0,2025-04-28,468.75,330.0,0,70.46428571428571,301.84357142857147,70.46428571428571,301.84357142857147
2025-04-30,S001,Seattle,suburban,61.6,cold_beverage,58,6.25,6.25,1.85,0.0,54.4,0.037,Wednesday,0,0,2025-04-28,362.5,255.2,0,70.57142857142857,302.315,70.57142857142857,302.315
2025-05-01,S001,Seattle,suburban,61.6,cold_beverage,79,6.25,6.25,1.85,0.0,66.8,0.01,Thursday,0,0,2025-04-28,493.75,347.6,0,70.53571428571429,302.15785714285715,70.53571428571429,302.15785714285715
2025-05-02,S001,Seattle,suburban,61.6,cold_beverage,84,6.25,6.25,1.85,0.0,61.1,0.018,Friday,0,0,2025-04-28,525.0,369.6,0,70.57142857142857,302.315,70.57142857142857,302.315
2025-05-03,S001,Seattle,suburban,61.6,cold_beverage,71,6.25,6.25,1.85,0.0,54.8,0.006,Saturday,1,0,2025-04-28,443.75,312.4,0,71.32142857142857,305.61499999999995,71.32142857142857,305.61499999999995
2025-05-04,S001,Seattle,suburban,61.6,cold_beverage,70,6.25,6.25,1.85,0.0,67.1,0.159,Sunday,1,0,2025-04-28,437.5,308.0,0,71.42857142857143,306.0864285714286,71.42857142857143,306.0864285714286
