city,state,lat,lon,cbsa_code,latte_price,observation_count,price_channel,source_label,source_url,notes,GeoName,rpp_all_items,rpp_goods,rpp_housing,rpp_other_services,rpp_utilities,latte_index_vs_sample_avg,rpp_gap,predicted_latte_from_rpp,residual_vs_rpp_model
Columbus,OH,39.9612,-82.9988,18140,5.65,2,delivery_menu,Grubhub search snippets,https://www.grubhub.com/restaurant/starbucks-1522-bradley-park-dr-columbus/11179816; https://www.grubhub.com/restaurant/starbucks-1784-n-high-st-columbus/8382944,Columbus snippets showed $5.45+ and $5.85+; averaged.,"Columbus, OH (Metropolitan Statistical Area)",95.469,93.628,87.945,98.939,95.523,100.30245249523311,4.833452495233118,5.513941233852162,0.13605876614783874
Philadelphia,PA,39.9526,-75.1652,37980,5.63,3,delivery_menu,Grubhub search snippets,https://www.grubhub.com/restaurant/starbucks-2201-south-st-philadelphia/8291920; https://www.grubhub.com/restaurant/starbucks-69-73-w-chelten-ave-philadelphia/13861448; https://www.grubhub.com/restaurant/starbucks-4600-city-line-avenue-philadelphia/8402168,"Philadelphia snippets showed $5.85+, $5.59+, and $5.45+; averaged.","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",102.554,96.833,113.141,103.052,114.389,99.94739956604644,-2.6066004339535596,5.625155114278346,0.004844885721653647
Baltimore,MD,39.2904,-76.6122,12580,5.6,2,delivery_menu,Grubhub search snippets,https://www.grubhub.com/restaurant/starbucks-4000-boston-st-baltimore/12861672; https://www.grubhub.com/restaurant/starbucks-3201-st-paul-st-baltimore/8421472,Baltimore snippets showed $5.45+ and $5.75+; averaged.,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",104.487,102.353,118.194,101.496,110.215,99.41482017226645,-5.0721798277335495,5.655497588641622,-0.055497588641622464
Minneapolis,MN,44.9778,-93.265,33460,5.6,2,delivery_menu,Grubhub search snippets,https://www.grubhub.com/restaurant/starbucks-5351-lyndale-ave-s-minneapolis/8385040; https://www.grubhub.com/restaurant/starbucks-5300-central-ave-ne-minneapolis/8287528,Minneapolis snippets showed $5.75+ and $5.45+; averaged.,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",104.822,103.065,111.838,104.419,93.493,99.41482017226645,-5.407179827733557,5.660756113686474,-0.060756113686474045
Nashville,TN,36.1627,-86.7816,34980,5.6,2,delivery_menu,Grubhub search snippets,https://www.grubhub.com/restaurant/starbucks-402-21st-ave-s-nashville/8368920; https://www.grubhub.com/restaurant/starbucks-1101-gallatin-ave-nashville/11158560,Nashville snippets showed $5.75+ and $5.45+; averaged.,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",96.338,96.247,104.626,95.142,71.95,99.41482017226645,3.0768201722664514,5.527582004789403,0.07241799521059633
Seattle,WA,47.6062,-122.3321,42660,5.55,2,delivery_menu,Grubhub search snippets,https://www.grubhub.com/restaurant/starbucks-1524-7th-ave-seattle/12326640; https://www.grubhub.com/restaurant/starbucks-999-nw-leary-wy-seattle/14442456,Two Seattle delivery-menu snippets showed Caffè Latte at $5.65+ and $5.45+; averaged.,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",111.133,103.972,151.314,106.835,92.814,98.52718784929976,-12.605812150700231,5.759820446695597,-0.20982044669559752
Phoenix,AZ,33.4484,-112.074,38060,5.52,2,delivery_menu,Grubhub search snippets,https://www.grubhub.com/restaurant/starbucks-3135-w-peoria-ave-phoenix/10684416; https://www.grubhub.com/restaurant/starbucks-7150-w-roosevelt-st-phoenix/13862928,Phoenix snippets showed $5.45+ and $5.59+; averaged.,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",103.316,95.024,121.236,104.016,93.332,97.99460845551977,-5.321391544480235,5.637116296619172,-0.11711629661917211
Las Vegas,NV,36.1699,-115.1398,29820,5.45,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-3410-sunset-rd-las-vegas/11514000,Las Vegas delivery-menu snippet showed Caffè Latte at $5.45+.,"Las Vegas-Henderson-North Las Vegas, NV (Metropolitan Statistical Area)",100.215,96.271,115.538,98.744,90.646,96.75192320336646,-3.463076796633544,5.588439621502504,-0.13843962150250366
Orlando,FL,28.5383,-81.3792,36740,5.45,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-5894-conroy-rd-orlando/11157504,Orlando delivery-menu snippet showed Caffè Latte at $5.45+.,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",101.418,96.24,123.374,98.864,87.196,96.75192320336646,-4.666076796633547,5.6073232203949095,-0.1573232203949093
Denver,CO,39.7392,-104.9903,19740,5.45,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-4005-chambers-rd-denver/8396392,Denver delivery-menu snippet showed Caffè Latte at $5.45+.,"Denver-Aurora-Centennial, CO (Metropolitan Statistical Area)",105.782,100.957,146.919,99.448,87.856,96.75192320336646,-9.030076796633537,5.675825319785152,-0.22582531978515163
Boston,MA,42.3601,-71.0589,14460,5.45,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-84-state-st-boston/12316416,Boston delivery-menu snippet showed Caffè Latte at $5.45+.,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",108.266,99.651,148.424,103.603,148.768,96.75192320336646,-11.514076796633546,5.714816890565482,-0.2648168905654815
Milwaukee,WI,43.0389,-87.9065,33340,5.45,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-2110-e-oklahoma-ave-milwaukee/8310256,Milwaukee delivery-menu snippet showed Caffè Latte at $5.45+.,"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",96.937,93.787,97.111,99.411,91.59,96.75192320336646,-0.18507679663353827,5.536984561511391,-0.08698456151139045
Salt Lake City,UT,40.7608,-111.891,41620,5.45,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-224-w-600-s-salt-lake-city/8319112,Salt Lake City delivery-menu snippet showed Caffè Latte at $5.45+.,"Salt Lake City-Murray, UT (Metropolitan Statistical Area)",100.868,96.446,123.311,98.959,79.0,96.75192320336646,-4.116076796633536,5.598689821067541,-0.14868982106754114
San Antonio,TX,29.4241,-98.4936,41700,5.45,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-4739-medical-dr-san-antonio/8374400,San Antonio delivery-menu snippet showed Caffè Latte at $5.45+.,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",94.716,93.757,94.575,96.24,82.169,96.75192320336646,2.0359232033664654,5.502121325318511,-0.052121325318510436
Dallas,TX,32.7767,-96.797,19100,5.45,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-12262-inwood-rd-dallas/11146472,Dallas delivery-menu snippet showed Caffè Latte at $5.45+.,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",103.09,102.838,117.874,99.673,90.711,96.75192320336646,-6.338076796633544,5.633568754350108,-0.1835687543501079
Austin,TX,30.2672,-97.7431,12420,5.45,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-7710-n-fm-620-austin/8309096,Austin delivery-menu snippet showed Caffè Latte at $5.45+.,"Austin-Round Rock-San Marcos, TX (Metropolitan Statistical Area)",98.066,93.757,120.361,96.24,82.044,96.75192320336646,-1.3140767966335432,5.554706575767025,-0.10470657576702447
Jefferson City,MO,38.5767,-92.1735,27620,5.45,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-3735-w-truman-blvd-jefferson-city/11493808,Jefferson City delivery-menu snippet showed Caffè Latte at $5.45+.,"Jefferson City, MO (Metropolitan Statistical Area)",87.975,94.193,62.123,93.026,85.497,96.75192320336646,8.776923203366465,5.396307243744354,0.0536927562556464
