week_start,category,observations,mae,mape,bias
2025-03-24,espresso,252,8.95,0.1127,-0.52
2025-03-24,food,252,5.7,0.1297,-1.2
2025-03-24,tea,252,5.21,0.1432,-0.88
2025-03-24,whole_bean,252,2.93,0.2625,-0.34
2025-03-31,cold_beverage,252,7.87,0.1113,-3.94
2025-03-31,espresso,252,8.16,0.105,-0.26
2025-03-31,food,252,5.34,0.1261,-0.42
2025-03-31,tea,252,4.74,0.1305,-0.91
2025-03-31,whole_bean,252,3.18,0.246,-0.76
2025-04-07,cold_beverage,252,7.49,0.1081,-2.45
2025-04-07,espresso,252,8.41,0.1056,-0.48
2025-04-07,food,252,5.5,0.1292,0.02
2025-04-07,tea,252,5.59,0.1581,-0.65
2025-04-07,whole_bean,252,3.26,0.27,-0.68
2025-04-14,cold_beverage,252,8.11,0.1124,-2.4
2025-04-14,espresso,252,8.27,0.1055,-0.93
2025-04-14,food,252,5.94,0.1382,-0.56
2025-04-14,tea,252,5.33,0.1672,0.17
2025-04-14,whole_bean,252,3.15,0.2553,-0.48
2025-04-21,cold_beverage,252,7.61,0.0993,-2.95
2025-04-21,espresso,252,8.34,0.1094,-0.35
2025-04-21,food,252,5.95,0.1421,-0.52
2025-04-21,tea,252,5.14,0.1474,-0.79
2025-04-21,whole_bean,252,2.96,0.2475,-0.34
2025-04-28,cold_beverage,252,8.07,0.1065,-1.53
2025-04-28,espresso,252,8.57,0.1134,-1.1
2025-04-28,food,252,5.08,0.1141,-0.54
2025-04-28,tea,252,4.97,0.1475,-0.81
2025-04-28,whole_bean,252,3.24,0.2591,-0.68
2025-05-05,cold_beverage,252,7.86,0.0945,-1.77
2025-05-05,espresso,252,7.89,0.1013,-1.72
2025-05-05,food,252,5.9,0.1356,-0.36
2025-05-05,tea,252,5.17,0.1557,-0.45
2025-05-05,whole_bean,252,3.01,0.2349,-0.66
2025-05-12,cold_beverage,252,8.85,0.1034,-1.4
2025-05-12,espresso,252,8.36,0.1104,-0.73
2025-05-12,food,252,5.89,0.135,-0.45
2025-05-12,tea,252,5.11,0.1611,-0.53
2025-05-12,whole_bean,252,3.04,0.2593,-0.63
2025-05-19,cold_beverage,252,9.92,0.1125,-1.25
2025-05-19,espresso,252,7.62,0.1029,-0.86
2025-05-19,food,252,6.12,0.1412,-0.58
2025-05-19,tea,252,5.09,0.1572,-0.58
2025-05-19,whole_bean,252,3.02,0.2752,-0.36
2025-05-26,cold_beverage,252,8.4,0.0984,-0.73
2025-05-26,espresso,252,7.96,0.1159,0.39
2025-05-26,food,252,6.05,0.1416,-0.3
2025-05-26,tea,252,4.19,0.1331,-0.47
2025-05-26,whole_bean,252,2.97,0.249,-0.69
2025-06-02,cold_beverage,252,8.66,0.095,1.07
2025-06-02,espresso,252,7.61,0.1076,-0.29
2025-06-02,food,252,5.89,0.1292,-1.1
2025-06-02,tea,252,4.94,0.1537,-0.91
2025-06-02,whole_bean,252,3.16,0.2623,-1.29
2025-06-09,cold_beverage,252,9.31,0.1048,1.89
2025-06-09,espresso,252,7.86,0.1043,-1.48
2025-06-09,food,252,5.6,0.1266,-0.56
2025-06-09,tea,252,5.08,0.1642,-0.3
2025-06-09,whole_bean,252,2.87,0.2592,-0.37
2025-06-16,cold_beverage,252,10.78,0.1026,3.64
2025-06-16,espresso,252,8.14,0.1114,-0.24
2025-06-16,food,252,5.59,0.1283,0.25
2025-06-16,tea,252,5.15,0.1635,-0.73
2025-06-16,whole_bean,252,3.01,0.2424,-0.67
2025-06-23,cold_beverage,252,10.61,0.0992,3.01
2025-06-23,espresso,252,7.58,0.1048,-0.53
2025-06-23,food,252,5.88,0.1283,-0.79
2025-06-23,tea,252,4.82,0.1541,-0.82
2025-06-23,whole_bean,252,2.92,0.2355,-0.36
2025-06-30,cold_beverage,252,10.01,0.1093,1.86
2025-06-30,espresso,252,7.17,0.1059,-0.32
2025-06-30,food,252,5.66,0.1335,0.29
2025-06-30,tea,252,4.32,0.1466,-0.14
2025-06-30,whole_bean,252,2.74,0.2044,-0.93
2025-07-07,cold_beverage,252,9.6,0.099,2.17
2025-07-07,espresso,252,7.46,0.1047,-0.38
2025-07-07,food,252,5.94,0.1334,-0.77
2025-07-07,tea,252,4.53,0.1493,-0.54
2025-07-07,whole_bean,252,2.96,0.264,-0.05
2025-07-14,cold_beverage,252,9.72,0.1,2.35
2025-07-14,espresso,252,7.51,0.1035,-0.61
2025-07-14,food,252,5.87,0.1313,-0.88
2025-07-14,tea,252,4.63,0.1458,-1.2
2025-07-14,whole_bean,252,2.89,0.2419,-0.59
2025-07-21,cold_beverage,252,9.72,0.0992,1.11
2025-07-21,espresso,252,7.87,0.1104,-0.4
2025-07-21,food,252,5.72,0.1269,-0.93
2025-07-21,tea,252,5.08,0.1656,-0.27
2025-07-21,whole_bean,252,3.11,0.2876,-0.58
2025-07-28,cold_beverage,252,9.68,0.1014,2.66
2025-07-28,espresso,252,7.85,0.1059,-0.68
2025-07-28,food,252,5.72,0.1322,-0.3
2025-07-28,tea,252,4.56,0.1463,-0.45
2025-07-28,whole_bean,252,2.94,0.2826,0.0
2025-08-04,cold_beverage,252,10.05,0.1063,1.37
2025-08-04,espresso,252,8.21,0.1092,-1.7
2025-08-04,food,252,5.9,0.1387,0.29
2025-08-04,tea,252,4.67,0.156,-0.5
2025-08-04,whole_bean,252,3.02,0.2531,-0.81
2025-08-11,cold_beverage,252,9.54,0.103,0.92
2025-08-11,espresso,252,7.53,0.1051,-0.42
2025-08-11,food,252,6.31,0.1324,-1.9
2025-08-11,tea,252,4.65,0.1548,-0.03
2025-08-11,whole_bean,252,2.87,0.2342,-0.28
2025-08-18,cold_beverage,252,9.22,0.1007,1.12
2025-08-18,espresso,252,8.44,0.1176,0.21
2025-08-18,food,252,5.56,0.1288,-0.2
2025-08-18,tea,252,4.63,0.1422,-0.85
2025-08-18,whole_bean,252,3.15,0.2437,-0.73
2025-08-25,cold_beverage,252,8.93,0.1002,-0.16
2025-08-25,espresso,252,7.79,0.1047,-1.35
2025-08-25,food,252,6.46,0.1451,-0.73
2025-08-25,tea,252,4.83,0.154,-0.62
2025-08-25,whole_bean,252,3.03,0.2694,-0.36
2025-09-01,cold_beverage,252,9.13,0.1096,-0.95
2025-09-01,espresso,252,7.6,0.1032,-1.14
2025-09-01,food,252,5.68,0.1349,-0.48
2025-09-01,tea,252,4.67,0.1558,-0.48
2025-09-01,whole_bean,252,3.03,0.2738,-0.47
2025-09-08,cold_beverage,252,8.12,0.0958,-0.65
2025-09-08,espresso,252,8.05,0.1064,-0.54
2025-09-08,food,252,5.39,0.1258,-0.62
2025-09-08,tea,252,4.45,0.1375,-0.53
2025-09-08,whole_bean,252,2.8,0.2412,-0.42
2025-09-15,cold_beverage,252,8.19,0.098,-2.06
2025-09-15,espresso,252,8.19,0.1102,-0.7
2025-09-15,food,252,6.03,0.1379,-0.91
2025-09-15,tea,252,5.05,0.1507,-0.81
2025-09-15,whole_bean,252,2.99,0.2306,-0.93
2025-09-22,cold_beverage,252,8.49,0.107,-1.95
2025-09-22,espresso,252,7.8,0.1066,-0.05
2025-09-22,food,252,5.81,0.1348,-0.33
2025-09-22,tea,252,5.39,0.1704,-0.09
2025-09-22,whole_bean,252,2.95,0.221,-0.72
2025-09-29,cold_beverage,252,7.69,0.0997,-2.06
2025-09-29,espresso,252,7.7,0.1027,-0.07
2025-09-29,food,252,5.53,0.129,-0.61
2025-09-29,tea,252,4.79,0.1414,-0.64
2025-09-29,whole_bean,252,3.06,0.2558,-0.35
2025-10-06,cold_beverage,252,7.44,0.0993,-2.61
2025-10-06,espresso,252,8.65,0.1116,-1.26
2025-10-06,food,252,5.9,0.1304,-1.25
2025-10-06,tea,252,4.81,0.1409,-0.56
2025-10-06,whole_bean,252,3.27,0.2422,-0.96
2025-10-13,cold_beverage,252,8.14,0.1127,-3.03
2025-10-13,espresso,252,8.1,0.103,-0.93
2025-10-13,food,252,5.58,0.1313,-0.63
2025-10-13,tea,252,4.85,0.1408,-0.0
2025-10-13,whole_bean,252,3.28,0.263,-0.69
2025-10-20,cold_beverage,252,7.33,0.1061,-2.77
2025-10-20,espresso,252,8.3,0.1066,-0.99
2025-10-20,food,252,5.48,0.1298,-0.36
2025-10-20,tea,252,5.6,0.1563,-0.58
2025-10-20,whole_bean,252,3.11,0.2383,-0.48
2025-10-27,cold_beverage,252,7.11,0.1097,-2.7
2025-10-27,espresso,252,7.82,0.0974,-0.69
2025-10-27,food,252,5.61,0.1265,-0.98
2025-10-27,tea,252,4.87,0.1387,-0.59
2025-10-27,whole_bean,252,2.99,0.2343,-0.56
2025-11-03,cold_beverage,252,7.71,0.1191,-2.98
2025-11-03,espresso,252,7.89,0.0942,-1.31
2025-11-03,food,252,5.95,0.1352,-1.24
2025-11-03,tea,252,5.33,0.1488,-0.4
2025-11-03,whole_bean,252,3.37,0.2569,-1.05
2025-11-10,cold_beverage,252,6.97,0.1155,-2.13
2025-11-10,espresso,252,7.94,0.1021,0.53
2025-11-10,food,252,5.63,0.1366,-0.38
2025-11-10,tea,252,5.63,0.1491,-0.83
2025-11-10,whole_bean,252,2.98,0.2297,-0.59
2025-11-17,cold_beverage,252,6.48,0.114,-1.57
2025-11-17,espresso,252,8.3,0.1052,-0.4
2025-11-17,food,252,5.57,0.1336,-0.4
2025-11-17,tea,252,5.62,0.162,-0.04
2025-11-17,whole_bean,252,3.37,0.2572,-0.72
2025-11-24,cold_beverage,252,6.59,0.1267,-1.68
2025-11-24,espresso,252,8.01,0.1039,-0.51
2025-11-24,food,252,5.86,0.141,-0.77
2025-11-24,tea,252,5.48,0.1519,-1.09
2025-11-24,whole_bean,252,3.06,0.2441,-0.69
2025-12-01,cold_beverage,252,6.84,0.1323,-0.95
2025-12-01,espresso,252,7.62,0.0938,-0.62
2025-12-01,food,252,5.81,0.1341,-1.14
2025-12-01,tea,252,5.37,0.1403,-0.82
2025-12-01,whole_bean,252,3.17,0.2524,-0.33
2025-12-08,cold_beverage,252,6.44,0.1332,0.31
2025-12-08,espresso,252,8.11,0.0979,-0.99
2025-12-08,food,252,5.94,0.1373,-1.25
2025-12-08,tea,252,5.4,0.1379,-1.22
2025-12-08,whole_bean,252,3.12,0.2574,-0.42
2025-12-15,cold_beverage,252,6.16,0.1262,-0.31
2025-12-15,espresso,252,8.72,0.1043,-0.73
2025-12-15,food,252,5.89,0.1386,-0.41
2025-12-15,tea,252,5.46,0.1494,-0.36
2025-12-15,whole_bean,252,3.47,0.2763,-0.57
2025-12-22,cold_beverage,252,6.22,0.1415,0.3
2025-12-22,espresso,252,8.57,0.1033,-0.87
2025-12-22,food,252,5.58,0.1329,-0.6
2025-12-22,tea,252,5.57,0.1555,-0.62
2025-12-22,whole_bean,252,3.05,0.2401,-0.87
2025-12-29,cold_beverage,108,6.84,0.1433,-0.47
2025-12-29,espresso,108,8.09,0.0979,-1.62
2025-12-29,food,108,5.54,0.1493,0.44
2025-12-29,tea,108,4.96,0.1353,-0.11
2025-12-29,whole_bean,108,3.39,0.2531,-0.72
