city,state,lat,lon,cbsa_code,latte_price,observation_count,price_channel,source_label,source_url,notes
Atlanta,GA,33.7490,-84.3880,12060,5.85,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-867-peachtree-st-ne-atlanta/11493648,"Atlanta delivery-menu snippet showed Caffè Latte at $5.85+."
Phoenix,AZ,33.4484,-112.0740,38060,5.52,2,delivery_menu,Grubhub search snippets,"https://www.grubhub.com/restaurant/starbucks-3135-w-peoria-ave-phoenix/10684416; https://www.grubhub.com/restaurant/starbucks-7150-w-roosevelt-st-phoenix/13862928","Phoenix snippets showed $5.45+ and $5.59+; averaged."
Denver,CO,39.7392,-104.9903,19740,5.45,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-4005-chambers-rd-denver/8396392,"Denver delivery-menu snippet showed Caffè Latte at $5.45+."
Portland,OR,45.5152,-122.6784,38900,5.65,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-7515-sw-barnes-rd-portland/8383560,"Portland delivery-menu snippet showed Caffè Latte at $5.65+."
Orlando,FL,28.5383,-81.3792,36740,5.45,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-5894-conroy-rd-orlando/11157504,"Orlando delivery-menu snippet showed Caffè Latte at $5.45+."
Tampa,FL,27.9506,-82.4572,45300,5.65,2,delivery_menu,Grubhub search snippets,"https://www.grubhub.com/restaurant/starbucks-3409-w-bay-to-bay-blvd-tampa/8376384; https://www.grubhub.com/restaurant/starbucks-1508-n-westshore-blvd-tampa/11116528","Tampa snippets showed $5.85+ and $5.45+; averaged."
Las Vegas,NV,36.1699,-115.1398,29820,5.45,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-3410-sunset-rd-las-vegas/11514000,"Las Vegas delivery-menu snippet showed Caffè Latte at $5.45+."
Nashville,TN,36.1627,-86.7816,34980,5.60,2,delivery_menu,Grubhub search snippets,"https://www.grubhub.com/restaurant/starbucks-402-21st-ave-s-nashville/8368920; https://www.grubhub.com/restaurant/starbucks-1101-gallatin-ave-nashville/11158560","Nashville snippets showed $5.75+ and $5.45+; averaged."
Charlotte,NC,35.2271,-80.8431,16740,5.85,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-4450-randolph-rd-charlotte/8306872,"Charlotte delivery-menu snippet showed Caffè Latte at $5.85+."
Columbus,OH,39.9612,-82.9988,18140,5.65,2,delivery_menu,Grubhub search snippets,"https://www.grubhub.com/restaurant/starbucks-1522-bradley-park-dr-columbus/11179816; https://www.grubhub.com/restaurant/starbucks-1784-n-high-st-columbus/8382944","Columbus snippets showed $5.45+ and $5.85+; averaged."
Minneapolis,MN,44.9778,-93.2650,33460,5.60,2,delivery_menu,Grubhub search snippets,"https://www.grubhub.com/restaurant/starbucks-5351-lyndale-ave-s-minneapolis/8385040; https://www.grubhub.com/restaurant/starbucks-5300-central-ave-ne-minneapolis/8287528","Minneapolis snippets showed $5.75+ and $5.45+; averaged."
Milwaukee,WI,43.0389,-87.9065,33340,5.45,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-2110-e-oklahoma-ave-milwaukee/8310256,"Milwaukee delivery-menu snippet showed Caffè Latte at $5.45+."
Salt Lake City,UT,40.7608,-111.8910,41620,5.45,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-224-w-600-s-salt-lake-city/8319112,"Salt Lake City delivery-menu snippet showed Caffè Latte at $5.45+."
San Antonio,TX,29.4241,-98.4936,41700,5.45,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-4739-medical-dr-san-antonio/8374400,"San Antonio delivery-menu snippet showed Caffè Latte at $5.45+."
Baltimore,MD,39.2904,-76.6122,12580,5.60,2,delivery_menu,Grubhub search snippets,"https://www.grubhub.com/restaurant/starbucks-4000-boston-st-baltimore/12861672; https://www.grubhub.com/restaurant/starbucks-3201-st-paul-st-baltimore/8421472","Baltimore snippets showed $5.45+ and $5.75+; averaged."
Honolulu,HI,21.3069,-157.8583,46520,6.35,2,delivery_menu,Grubhub search snippets,"https://www.grubhub.com/restaurant/starbucks-4211-waialae-ave-honolulu/11145384; https://www.grubhub.com/restaurant/starbucks-25-kaneohe-bay-dr-kailua/12332400","Honolulu-area snippets showed Caffè Latte at $6.35+."
Jefferson City,MO,38.5767,-92.1735,27620,5.45,1,delivery_menu,Grubhub search snippet,https://www.grubhub.com/restaurant/starbucks-3735-w-truman-blvd-jefferson-city/11493808,"Jefferson City delivery-menu snippet showed Caffè Latte at $5.45+."
